#{"t_start": 1599129303.3897023, "env_id": "DeeplengDocking-v1"}
r,l,t
-20000,1,2765.855198
-20000,1,2767.955268
-20000,1,2770.05184
-20000,1,2772.151767
-20000,1,2774.248908
-20000,1,2776.344748
-23384.177208,8,2785.62934
-22002.340027,5,2791.844317
-22136.432644,5,2798.045851
-24810.170047,11,2810.419486
-21485.882301,4,2815.599338
-20000,1,2817.69697
-20000,1,2819.791961
-20000,1,2821.88979
-20379.394766,2,2825.01542
-20000,1,2827.11704
-20000,1,2829.211053
-20000,1,2831.30899
-20000,1,2833.403016
-20527.511176,2,2836.527641
-22075.448199,5,2842.734987
-20000,1,2844.836153
-20000,1,2846.932564
-23506.503779,8,2856.21952
-20000,1,2858.317515
-21676.877164,5,2864.527968
-20000,1,2866.625376
-20000,1,2868.720621
-21228.706939,3,2872.866587
-20000,1,2874.961219
-22239.521183,5,2881.173513
-20912.35673,3,2885.315596
-20595.134207,2,2888.439889
-20952.106514,3,2892.589044
-20000,1,2894.686245
-20390.63439,2,2897.804442
-20457.968378,2,2900.927301
-20000,1,2903.021597
-21153.639576,3,2907.170991
-20000,1,2909.267639
-20000,1,2911.36545
-21089.804059,3,2915.515987
-20398.558263,2,2918.638933
-21748.289164,5,2925.001412
-37443.291088,35,2962.037404
-21032.713405,3,2966.187054
-20947.793138,3,2970.343493
-20000,1,2972.441101
-28233.93777,18,2992.001998
-20449.648888,2,2995.131617
-20000,1,2997.226723
-22953.397988,6,3004.462982
-20000,1,3006.559394
-20431.33509,2,3009.679048
-21201.934071,3,3013.83349
-20000,1,3015.926929
-21250.13661,3,3020.080032
-20500.801981,2,3023.206994
-20000,1,3025.291573
-24370.383336,10,3036.636935
-20000,1,3038.735564
-34424.110275,28,3068.575351
-21017.209999,3,3072.727016
-20000,1,3074.825188
-20660.49724,2,3077.947936
-20926.697777,3,3082.098606
-20000,1,3084.194767
-20000,1,3086.289165
-20000,1,3088.388875
-20000,1,3090.455019
-21412.497391,4,3095.633598
-21317.946284,3,3099.790164
-25602.889615,13,3114.214999
-20000,1,3116.311079
-20000,1,3118.409133
-26164.074184,14,3133.866918
-20000,1,3135.959413
-20000,1,3138.061178
-20000,1,3140.15727
-22351.604766,6,3147.389078
-21955.966205,5,3153.5955
-20000,1,3155.69341
-20000,1,3157.790174
-20646.367049,2,3160.914987
-20000,1,3163.00938
-20000,1,3165.1034
-20000,1,3167.198127
-22099.219106,5,3173.407274
-20000,1,3175.498918
-24698.150676,10,3186.843082
-21268.805703,4,3192.02154
-20701.6369,2,3195.143046
-20000,1,3197.243127
-20000,1,3199.339123
-20000,1,3201.436261
-21846.484593,4,3206.611139
-22685.025466,7,3214.869005
-21610.904116,3,3219.025428
-20000,1,3221.1191
-20000,1,3223.213058
-20491.690249,2,3226.340421
-20000,1,3228.436355
-20754.289994,3,3232.58227
-22365.233679,6,3239.811105
-20000,1,3241.907284
-20409.077066,2,3245.029036
-20000,1,3247.123219
-24300.626503,7,3255.38383
-20000,1,3257.478812
-20000,1,3259.575182
-31045.405015,21,3282.227576
-21060.361835,3,3286.38287
-20000,1,3288.486959
