#{"t_start": 1602585710.1716993, "env_id": "DeeplengDocking-v1"}
r,l,t
-20676.77,16,1143.114254
-20579.67,13,1150.546456
-21033.99,12,1157.457415
-20940.37,11,1164.643422
-20622.87,13,1172.074202
-20755.34,11,1178.451056
-20706.3,14,1186.407511
-20728.57,8,1191.208052
-20864.04,10,1197.06695
-20550.03,7,1201.343899
-20674.03,14,1209.306839
-20752.02,8,1214.104748
-21001.97,12,1221.014193
-20830.42,9,1227.162306
-20864.77,10,1233.012952
-21185.67,16,1241.89862
-20813.77,10,1247.754618
-20741.86,12,1254.665225
-20789.11,9,1259.988975
-20914.1,11,1266.367676
-20958.7,11,1272.750264
-20744.4,11,1279.126112
-20654.16,9,1285.360788
-20697.64,8,1290.156399
-20549.18,12,1297.05981
-20655.03,9,1302.384171
-20759.49,11,1308.767396
-21051.77,15,1317.255238
-20495.99,10,1323.112446
-20801.43,9,1328.426285
-20863.57,15,1336.917518
-20858.6,11,1344.197163
-20910.51,10,1350.056115
-20827.72,13,1357.491615
-20542.63,7,1361.767259
-20512.96,10,1367.606657
-20889.7,10,1373.460842
-20624.6,7,1377.741646
-20845.48,10,1383.598625
-20938.48,11,1389.986655
-20878.31,11,1396.36879
-20688.85,11,1403.469496
-20995.7,12,1410.371058
-21167.82,14,1418.330983
-20865.85,10,1424.189681
-21159.9,15,1432.685525
-21105.04,14,1440.650656
-21059.54,14,1448.619885
-21043.31,14,1456.584156
-20719.55,8,1462.387283
-20642.77,15,1470.873605
-20896.23,16,1479.89061
-20704.81,8,1484.697745
-20928.22,11,1491.088146
-20660.7,9,1496.417821
-20968.92,11,1502.804023
-20911.95,10,1508.661343
-20574.04,11,1515.043968
-20353.07,4,1518.725397
-20490.23,9,1524.057258
-20760.7,9,1529.389648
-21051.05,12,1536.301316
-20739.44,8,1541.105588
-20750.88,8,1545.910675
-20653.03,9,1551.235759
-21212.65,16,1560.250118
-20666.71,10,1566.114543
-21103.06,15,1574.607588
-20939.76,18,1585.689197
-20547.6,6,1589.440384
-20398.15,5,1592.669189
-20766.2,11,1599.046791
-20620.68,7,1603.322384
-21058.52,14,1611.252536
-21012.09,12,1618.117876
-20957.26,12,1625.031102
-20450.42,5,1628.258275
-20220.46,3,1630.432214
-20749.16,11,1637.818382
-21094.72,13,1645.255554
-20626.45,12,1652.171393
-20638.96,14,1660.130393
-21229.15,16,1669.145121
-20594.32,12,1676.058301
-21020.02,13,1683.498938
-20548.58,7,1687.773194
-20654.42,9,1693.103554
-21116.52,13,1701.475753
-21115.11,13,1708.909782
-20646.4,17,1718.45124
-20718.71,8,1723.25665
-20668.82,9,1728.587236
-20973.73,11,1734.972677
-20721.48,10,1740.831992
-20436.08,5,1744.05777
-20663.33,11,1750.438427
-21315.52,19,1761.951792
-20610.05,14,1769.913919
-20602.53,8,1774.719533
-20767.6,12,1781.625524
-20681.6,10,1787.482205
-20622.61,15,1795.968632
-20851.42,10,1801.829719
-20988.18,13,1809.262841
-20620.78,11,1816.62426
-20747.45,11,1823.004623
-20863.09,10,1828.85642
-20800.68,9,1834.189431
-20841.04,13,1841.630386
-20967.21,13,1849.069018
-21128.44,14,1857.030901
-21026.2,12,1863.945008
-20742.07,8,1868.746563
-20897.22,15,1878.11177
-20858.61,14,1886.077018
-20705.51,8,1890.881849
-20549.77,6,1894.641142
-20884.12,10,1900.49805
-20688.21,11,1906.877892
-20898.77,10,1912.736262
-20520.24,9,1918.068712
-21134.27,13,1925.508553
-21253.81,17,1935.960847
-20874.79,10,1941.823076
-20610.51,8,1946.634981
-20655.94,7,1950.913948
-21028.37,13,1958.359377
-21062.92,12,1965.274374
-20681.91,15,1973.77063
-20480.36,9,1979.109388
-20758.93,9,1984.439749
-20712.59,10,1991.193724
-20529.62,11,1997.581524
-20543.14,7,2001.856671
-21027.34,13,2009.294186
-20523.96,10,2015.152008
-20542.24,7,2019.434142
-21052.28,14,2027.402239
-20633.72,7,2031.68181
-20859.26,10,2037.545883
-21082.45,13,2044.992327
-21053.37,13,2053.500181
-20867.59,11,2059.888549
-20474.17,6,2063.643649
-21003.46,13,2071.085412
-21026.04,12,2077.991975
-21011.14,12,2084.915607
-20929.85,12,2091.838172
-20818.49,13,2099.282213
-20788.56,12,2106.179065
-20543.19,7,2111.363796
-21064.36,12,2118.276851
-20732.71,14,2126.24244
-20563.14,6,2129.997935
-20597.1,11,2136.38623
-20761.91,14,2144.356759
-20815.89,10,2150.216315
-20445.16,5,2153.443219
-20811.35,13,2160.881837
-20535.27,9,2167.08841
-21019.2,12,2174.004718
-20542.36,7,2178.286711
-20865.75,10,2184.146686
-20681.12,11,2190.538483
-20746.57,11,2196.922061
-20818.22,9,2202.255454
-20726.07,8,2207.059254
-20809.17,9,2212.320765
-21019.12,14,2220.283052
-20758.6,11,2227.683041
-20891.58,10,2233.543698
-20623.71,7,2237.830827
-20997.04,12,2244.747975
-20713.07,10,2250.61231
-20605.52,8,2255.421718
-20816.94,13,2262.870357
-20673.23,10,2268.735519
-20532.53,10,2274.602687
-21113.76,14,2282.57709
-20543.84,7,2287.707877
-20829.03,9,2293.047946
-20476.65,6,2296.804729
-20578.68,10,2302.663715
-21154.37,14,2310.636325
-20620.96,7,2314.928467
-21042.41,12,2321.843333
-20912.54,10,2327.697533
-20707.03,10,2333.562809
-20658.12,14,2341.537657
-20876.38,11,2348.810439
-20833.39,9,2354.148938
-21146.3,17,2363.687753
-20620.2,10,2369.549768
